Removed Pin From Net: NetName=NetB1_7 Pin=TP16-1
Removed Pin From Net: NetName=NetB1_9 Pin=TP17-1
Removed Pin From Net: NetName=NetB1_8 Pin=TP18-1
Removed Pin From Net: NetName=NetB1_6 Pin=TP20-1
Removed Pin From Net: NetName=NetB1_6 Pin=U1-5
Removed Pin From Net: NetName=NetB1_8 Pin=U1-6
Removed Pin From Net: NetName=NetB1_9 Pin=U1-7
Removed Pin From Net: NetName=NetB1_7 Pin=U1-8
Removed Pin From Net: NetName=GND Pin=U?-1
Removed Pin From Net: NetName=3V3 Pin=U?-2
Removed Pin From Net: NetName=12V Pin=U?-3
Removed Pin From Net: NetName=3V3 Pin=U?-4
Removed Pin From Net: NetName=GND Pin=U?-4
Removed Pin From Net: NetName=12V Pin=U?-8
Change Component Footprint: Designator=U? Old Footprint=MSOP-MS8_N New Footprint=FP-AMS1117-IPC_C
Change Component Comment : Designator=U? Old Comment=MCP6042-E/MS New Comment=AMS1117-3.3
Change Managed Component Library Link : Designator=U? Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=D8595003-EEC4-4A3F-AF44-3E1E56803A97 New ItemGUID=A235AA21-9D40-41CE-AFD5-ED190622537A Old RevisionGUID=DFF93033-32B3-40E9-A8B6-1425CBAC12BD New RevisionGUID=3D147F22-7269-42D2-A886-FBED816C16F3
Change component parameters: Designator = "U?" ("U?"); Footprint = "MSOP-MS8_N"; UniqueID = "\KHKEEMOE\ARMLDAKB" ("\KHKEEMOE\ARMLDAKB")
Add component (AddParameter): Name = "Number of Elements per Chip"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Description"; Value = "3-Pin Transistor Outline Package, 10.2 x 4.5 mm, Pitch 2.55 mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Reference"; Value = "TO-220"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Type"; Value = "TO-220"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package URL"; Value = "http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/CD00000544.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pin Count"; Value = "3"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Transistor Configuration"; Value = "Single"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Transistor Material"; Value = "Si"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Typical Gate Charge @ Vgs"; Value = "142nC@10V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Typical Input Capacitance @ Vds"; Value = "4400pF@25V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Typical Turn-Off Delay Time"; Value = "125ns"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Typical Turn-On Delay Time"; Value = "27ns"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Width"; Value = "4.6mm"; VariantName = "[No Variations]"
Added Component: Designator=TP?(PCBComponent_1)
Added Component: Designator=TP?(PCBComponent_1)
Added Component: Designator=TP?(PCBComponent_1)
Added Component: Designator=TP?(PCBComponent_1)
Added Component: Designator=TP?(PCBComponent_1)
Added Component: Designator=TP?(PCBComponent_1)
Add Pin To Net: Unknown Pin: Pin C3-1
Add Pin To Net: Unknown Pin: Pin C3-2
Add Pin To Net: Unknown Pin: Pin C?-1
Add Pin To Net: Unknown Pin: Pin C?-1
Add Pin To Net: Unknown Pin: Pin C?-2
Add Pin To Net: Unknown Pin: Pin C?-2
Add Pin To Net: Unknown Pin: Pin D?-1
Add Pin To Net: Unknown Pin: Pin D?-1
Add Pin To Net: Unknown Pin: Pin D?-1
Add Pin To Net: Unknown Pin: Pin DR?-1
Add Pin To Net: Unknown Pin: Pin DR?-1
Add Pin To Net: Unknown Pin: Pin DR?-1
Add Pin To Net: Unknown Pin: Pin DR?-4
Add Pin To Net: Unknown Pin: Pin DR?-4
Add Pin To Net: Unknown Pin: Pin DR?-4
Added Pin To Net: NetName=GND Pin=IC?-1
Added Pin To Net: NetName=3V3 Pin=IC?-24
Added Pin To Net: NetName=12V Pin=Q?-2
Added Pin To Net: NetName=12V Pin=Q?-2
Added Pin To Net: NetName=12V Pin=Q?-2
Added Pin To Net: NetName=GND Pin=Q?-3
Added Pin To Net: NetName=GND Pin=Q?-3
Added Pin To Net: NetName=GND Pin=Q?-3
Add Pin To Net: Unknown Pin: Pin S_PAD1-1
Add Pin To Net: Unknown Pin: Pin S_PAD2-1
Added Pin To Net: NetName=GND Pin=U?-1
Added Pin To Net: NetName=3V3 Pin=U?-2
Added Pin To Net: NetName=12V Pin=U?-3
Added Pin To Net: NetName=3V3 Pin=U?-4
Added Pin To Net: NetName=FSYNC Pin=B1-12
Added Pin To Net: NetName=FSYNC Pin=IC?-4
Added Pin To Net: NetName=FSYNC Pin=TP10-1
Added Pin To Net: NetName=FSYNC Pin=TP16-1
Added Pin To Net: NetName=FSYNC Pin=U1-8
Added Net: Name=FSYNC
Added Pin To Net: NetName=MCLK Pin=B1-13
Added Pin To Net: NetName=MCLK Pin=IC?-21
Added Pin To Net: NetName=MCLK Pin=TP8-1
Added Pin To Net: NetName=MCLK Pin=TP20-1
Added Pin To Net: NetName=MCLK Pin=U1-5
Added Net: Name=MCLK
Added Pin To Net: NetName=NetC?_1 Pin=Q?-2
Added Pin To Net: NetName=NetC?_1 Pin=Q?-3
Added Net: Name=NetC?_1
Add Net: Net with name "NetC?_1" already exists
Add Net: Net with name "NetC?_1" already exists
Added Pin To Net: NetName=NetC?_2 Pin=Q?-2
Added Pin To Net: NetName=NetC?_2 Pin=Q?-3
Added Net: Name=NetC?_2
Add Net: Net with name "NetC?_2" already exists
Add Net: Net with name "NetC?_2" already exists
Added Pin To Net: NetName=NetD?_1 Pin=Q?-1
Added Net: Name=NetD?_1
Add Net: Net with name "NetD?_1" already exists
Add Net: Net with name "NetD?_1" already exists
Add Net: Net with name "NetD?_1" already exists
Add Net: Net with name "NetD?_1" already exists
Add Net: Net with name "NetD?_1" already exists
Added Net: Name=NetD?_2
Add Net: Net with name "NetD?_2" already exists
Add Net: Net with name "NetD?_2" already exists
Add Net: Net with name "NetD?_2" already exists
Add Net: Net with name "NetD?_2" already exists
Add Net: Net with name "NetD?_2" already exists
Added Pin To Net: NetName=NetDR?_2 Pin=TP?-1
Added Net: Name=NetDR?_2
Added Pin To Net: NetName=OUT0 Pin=IC?-5
Added Net: Name=OUT0
Added Pin To Net: NetName=OUT1 Pin=IC?-6
Added Pin To Net: NetName=OUT1 Pin=TP?-1
Added Net: Name=OUT1
Added Pin To Net: NetName=OUT2 Pin=IC?-7
Added Pin To Net: NetName=OUT2 Pin=TP?-1
Added Net: Name=OUT2
Added Pin To Net: NetName=OUT3 Pin=IC?-8
Added Net: Name=OUT3
Added Pin To Net: NetName=OUT4 Pin=IC?-9
Added Pin To Net: NetName=OUT4 Pin=TP?-1
Added Net: Name=OUT4
Added Pin To Net: NetName=OUT5 Pin=IC?-10
Added Pin To Net: NetName=OUT5 Pin=TP?-1
Added Net: Name=OUT5
Added Pin To Net: NetName=SCLK Pin=B1-11
Added Pin To Net: NetName=SCLK Pin=IC?-3
Added Pin To Net: NetName=SCLK Pin=TP12-1
Added Pin To Net: NetName=SCLK Pin=TP17-1
Added Pin To Net: NetName=SCLK Pin=U1-7
Added Net: Name=SCLK
Added Pin To Net: NetName=SDATA Pin=B1-10
Added Pin To Net: NetName=SDATA Pin=IC?-2
Added Pin To Net: NetName=SDATA Pin=TP11-1
Added Pin To Net: NetName=SDATA Pin=TP18-1
Added Pin To Net: NetName=SDATA Pin=U1-6
Added Net: Name=SDATA
Add Class Member: Failed to add class member : Component C3 Capacitor
Add Class Member: Failed to add class member : Component C? Capacitor
Add Class Member: Failed to add class member : Component C? Capacitor
Add Class Member: Failed to add class member : Component C? Capacitor
Add Class Member: Failed to add class member : Component C? Capacitor
Add Class Member: Failed to add class member : Component C? Capacitor
Add Class Member: Failed to add class member : Component D? Diode
Add Class Member: Failed to add class member : Component D? Diode
Add Class Member: Failed to add class member : Component D? Diode
Add Class Member: Failed to add class member : Component D? Diode
Add Class Member: Failed to add class member : Component D? Diode
Add Class Member: Failed to add class member : Component D? Diode
Add Class Member: Failed to add class member : Component D? Diode
Add Class Member: Failed to add class member : Component D? Diode
Add Class Member: Failed to add class member : Component D? Diode
Add Class Member: Failed to add class member : Component DR? GR3115
Add Class Member: Failed to add class member : Component DR? GR3115
Add Class Member: Failed to add class member : Component DR? GR3115
Added Member To Class: ClassName=ADC_DAC_expansion Member=Component IC? STP16C596ATTR
Added Member To Class: ClassName=ADC_DAC_expansion Member=Component Q? STP80NF55-06
Added Member To Class: ClassName=ADC_DAC_expansion Member=Component Q? STP80NF55-06
Added Member To Class: ClassName=ADC_DAC_expansion Member=Component Q? STP80NF55-06
Added Member To Class: ClassName=ADC_DAC_expansion Member=Component Q? STP80NF55-06
Added Member To Class: ClassName=ADC_DAC_expansion Member=Component Q? STP80NF55-06
Added Member To Class: ClassName=ADC_DAC_expansion Member=Component Q? STP80NF55-06
Add Class Member: Failed to add class member : Component R? Resistor
Add Class Member: Failed to add class member : Component R? Resistor
Add Class Member: Failed to add class member : Component R? Resistor
Add Class Member: Failed to add class member : Component R? Resistor
Add Class Member: Failed to add class member : Component R? Resistor
Add Class Member: Failed to add class member : Component R? Resistor
Add Class Member: Failed to add class member : Component S_PAD1 SOLDER_PAD
Add Class Member: Failed to add class member : Component S_PAD2 SOLDER_PAD
Added Member To Class: ClassName=ADC_DAC_expansion Member=Component TP? =Value
Added Member To Class: ClassName=ADC_DAC_expansion Member=Component TP? =Value
Added Member To Class: ClassName=ADC_DAC_expansion Member=Component TP? =Value
Added Member To Class: ClassName=ADC_DAC_expansion Member=Component TP? =Value
Added Member To Class: ClassName=ADC_DAC_expansion Member=Component TP? =Value
Added Member To Class: ClassName=ADC_DAC_expansion Member=Component TP? =Value
Added Member To Class: ClassName=Designator Member=Component U? AMS1117-3.3
